dataset_family,scope,primary_role,unit,public_status,core_strength,main_weakness,default_split_policy,covered_protocols
OmniDocBench_v15,document_parsing,primary_public,page,public,strong overall structured parsing,less wild-photo density than dedicated wild sets,official_public_splits,public_frontier_v1|competitor_reproduction_v1|release_gate_v1
Real5_OmniDocBench,wild_document_parsing,primary_public,page,public,photographed and physically distorted documents,still younger and less densely reported than OmniDocBench,official_public_splits,public_frontier_v1|competitor_reproduction_v1|release_gate_v1
olmOCR_Bench,pdf_to_markdown,primary_public,page,public,hard English PDF linearization,multilingual coverage is weak,official_public_splits,public_frontier_v1|competitor_reproduction_v1|release_gate_v1
IDP_OCR_Leaderboard_Aligned,ocr_robustness,primary_public,page,public,rotation and handwriting comparability,not full document parsing,official_public_splits,public_frontier_v1|release_gate_v1
MDPBench,multilingual_document_parsing,primary_public,page,public,multilingual and photographed parsing,public leaderboard still maturing,official_public_splits,public_frontier_v1|competitor_reproduction_v1|release_gate_v1
PubTables_1M,table_structure,specialist_public,page_or_table,public,table detection and structure,less emphasis on non-table page context,official_public_splits,public_frontier_v1|release_gate_v1
SciTSR,table_structure,specialist_public,table,public,scientific table topology,smaller and narrower than PubTables,official_public_splits,public_frontier_v1|release_gate_v1
FinTabNet_family,table_structure,specialist_optional,table,public_or_restricted,financial table complexity,license and split hygiene must be checked before final use,verified_before_use,public_frontier_v1|release_gate_v1
CROHME,formula_recognition,specialist_public,formula,public,handwritten math exactness,isolated formula setting is narrower than full pages,official_public_splits,public_frontier_v1|release_gate_v1
MathWriting,formula_recognition,specialist_public,formula,public,large handwritten math coverage,less directly tied to document layout,official_public_splits,public_frontier_v1|release_gate_v1
Im2LaTeX_100K,formula_recognition,specialist_public,formula,public,printed formula to LaTeX,formula-only setting,official_public_splits,public_frontier_v1|release_gate_v1
IAM,handwriting,specialist_public,line_or_page,public,canonical handwriting baseline,less page-structure diversity than mixed document sets,official_public_splits,public_frontier_v1|release_gate_v1
Bentham,handwriting,specialist_public,line_or_page,public,historical handwriting robustness,harder manuscript style but narrower than modern docs,official_public_splits,public_frontier_v1|release_gate_v1
READ_2016,handwriting_layout,specialist_public,page,public,handwriting plus structure,historical bias and lower leaderboard density,official_public_splits,public_frontier_v1|release_gate_v1
FUNSD,forms,specialist_public,page,public,noisy form structure,limited domain breadth,official_public_splits,public_frontier_v1|release_gate_v1
CORD,receipts,specialist_public,page,public,receipt parsing and structure,receipt domain only,official_public_splits,public_frontier_v1|release_gate_v1
SROIE,receipts,specialist_public,page,public,receipt OCR and extraction,older and narrower than broader parsers,official_public_splits,public_frontier_v1|release_gate_v1
ChartQA,graphics,specialist_public,figure_or_page,public,chart text and reasoning,not a full document benchmark,official_public_splits,public_frontier_v1|release_gate_v1
PlotQA,graphics,specialist_public,figure_or_page,public,plot reading and chart structure,not a document benchmark,official_public_splits,public_frontier_v1|release_gate_v1
Leopardi_Internal_Holdout,document_parsing,internal_holdout,page_and_document,internal,stress tests across product-critical slices,not public and therefore not primary for external claims,strict_internal_split_registry,internal_holdout_v1|release_gate_v1
