baseline_id,model_name,group,open_status,primary_role,size_band,main_protocols,evidence_policy,notes
paddleocr_vl_15,PaddleOCR-VL-1.5,frontier_open,open,all_around_parser,small,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,primary compact frontier target
hunyuanocr,HunyuanOCR,frontier_open_partial,open_or_vendor_authored,all_around_parser,small,public_frontier_v1|competitor_reproduction_v1,literature_with_grade,important wild and multilingual threat
dots_mocr,dots.mocr,frontier_open,open,graphics_and_markdown_parser,mid,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,top strategic competitor for graphics
firered_ocr,FireRed-OCR,frontier_open,open,structure_validity_parser,small,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,important RL and structure baseline
glm_ocr,GLM-OCR,frontier_open,open,compact_efficiency_parser,small,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,important speed-oriented competitor
monkeyocr,MonkeyOCR,frontier_open,open,efficiency_parser,small_or_mid,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,strong disclosed speed evidence
mineru_25,MinerU2.5,frontier_open,open,high_resolution_parser,small,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,strong public benchmark posture
ocrverse,OCRVerse,frontier_open,open,holistic_ocr_parser,mid,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,multi-domain parser reference
olmocr2,olmOCR_2,frontier_open,open,pdf_to_markdown_parser,large,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,benchmark maintainer and strong Markdown baseline
infinity_parser,Infinity-Parser,frontier_open,open,pdf_to_markdown_parser,large,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,hard PDF competitor
chandra,Chandra,frontier_open,open,pdf_to_markdown_parser,tiny_or_small,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,narrow but serious competitor
opendoc_01b,OpenDoc-0.1B,frontier_open,open,tiny_parser,tiny,public_frontier_v1|competitor_reproduction_v1,literature_or_reproduced,critical tiny-size baseline
unimernet,UniMERNet,specialist_open,open,formula_specialist,small,public_frontier_v1,literature_or_reproduced,formula ceiling reference
mathpix,Mathpix,commercial_api,closed,formula_and_markdown_api,closed,public_frontier_v1,official_docs_or_public_benchmarks,commercial specialist reference
mistral_ocr,Mistral_OCR,commercial_api,closed,ocr_api,closed,public_frontier_v1,official_docs_or_public_benchmarks,commercial parsing reference
gemini_family,Gemini_family,commercial_api,closed,general_vlm_api,closed,public_frontier_v1,public_benchmarks_only,robust OCR reference
openai_family,OpenAI_family,commercial_api,closed,general_vlm_api,closed,public_frontier_v1,public_benchmarks_only,robust OCR and reasoning reference
